date,sku,dc_id,region,on_hand_units,allocated_units,available_units,fill_rate
2026-02-01,NOVA-AUD-01,DC-NORTH,North,412,120,292,0.8987
2026-02-01,NOVA-AUD-01,DC-SOUTH,South,360,121,239,0.9097
2026-02-01,NOVA-AUD-01,DC-EAST,East,396,99,297,0.8494
2026-02-01,NOVA-AUD-01,DC-WEST,West,428,190,238,0.8819
2026-02-01,NOVA-AUD-02,DC-NORTH,North,490,175,315,0.909
2026-02-01,NOVA-AUD-02,DC-SOUTH,South,525,139,386,0.865
2026-02-01,NOVA-AUD-02,DC-EAST,East,438,178,260,0.8701
2026-02-01,NOVA-AUD-02,DC-WEST,West,513,191,322,0.9325
2026-02-01,NOVA-MOB-01,DC-NORTH,North,239,92,147,0.8853
2026-02-01,NOVA-MOB-01,DC-SOUTH,South,228,86,142,0.9315
2026-02-01,NOVA-MOB-01,DC-EAST,East,243,99,144,0.8819
2026-02-01,NOVA-MOB-01,DC-WEST,West,226,71,155,0.8874
2026-02-01,NOVA-MOB-02,DC-NORTH,North,348,97,251,0.9045
2026-02-01,NOVA-MOB-02,DC-SOUTH,South,342,99,243,0.8763
2026-02-01,NOVA-MOB-02,DC-EAST,East,299,90,209,0.875
2026-02-01,NOVA-MOB-02,DC-WEST,West,352,129,223,0.9202
2026-02-01,NOVA-CPT-01,DC-NORTH,North,162,47,115,0.8521
2026-02-01,NOVA-CPT-01,DC-SOUTH,South,146,56,90,0.9478
2026-02-01,NOVA-CPT-01,DC-EAST,East,145,57,88,0.9076
2026-02-01,NOVA-CPT-01,DC-WEST,West,182,52,130,0.9107
2026-02-01,NOVA-CPT-02,DC-NORTH,North,199,51,148,0.8875
2026-02-01,NOVA-CPT-02,DC-SOUTH,South,231,66,165,0.9238
2026-02-01,NOVA-CPT-02,DC-EAST,East,217,57,160,0.8617
2026-02-01,NOVA-CPT-02,DC-WEST,West,215,96,119,0.8868
2026-02-01,NOVA-WBL-01,DC-NORTH,North,263,75,188,0.9007
2026-02-01,NOVA-WBL-01,DC-SOUTH,South,296,121,175,0.8574
2026-02-01,NOVA-WBL-01,DC-EAST,East,242,80,162,0.8666
2026-02-01,NOVA-WBL-01,DC-WEST,West,239,77,162,0.882
2026-02-01,NOVA-WBL-02,DC-NORTH,North,477,191,286,0.9446
2026-02-01,NOVA-WBL-02,DC-SOUTH,South,396,101,295,0.9088
2026-02-01,NOVA-WBL-02,DC-EAST,East,434,114,320,0.8691
2026-02-01,NOVA-WBL-02,DC-WEST,West,378,134,244,0.9124
2026-02-01,NOVA-ACC-01,DC-NORTH,North,810,335,475,0.9192
2026-02-01,NOVA-ACC-01,DC-SOUTH,South,872,373,499,0.928
2026-02-01,NOVA-ACC-01,DC-EAST,East,774,252,522,0.8494
