date,sku,category,region,channel,units,list_price_usd,discount_pct,net_revenue_usd
2026-02-01,NOVA-AUD-01,audio,North,online,4,149.99,0.0405,575.66
2026-02-01,NOVA-AUD-01,audio,North,marketplace,2,149.99,0.0445,286.63
2026-02-01,NOVA-AUD-01,audio,North,b2b,1,149.99,0.1035,134.47
2026-02-01,NOVA-AUD-01,audio,South,online,3,149.99,0.0417,431.21
2026-02-01,NOVA-AUD-01,audio,South,marketplace,1,149.99,0.0406,143.9
2026-02-01,NOVA-AUD-01,audio,East,online,4,149.99,0.0405,575.66
2026-02-01,NOVA-AUD-01,audio,East,marketplace,1,149.99,0.053,142.04
2026-02-01,NOVA-AUD-01,audio,East,b2b,1,149.99,0.0944,135.83
2026-02-01,NOVA-AUD-01,audio,West,online,3,149.99,0.0562,424.68
2026-02-01,NOVA-AUD-01,audio,West,marketplace,1,149.99,0.0561,141.58
2026-02-01,NOVA-AUD-01,audio,West,b2b,1,149.99,0.0968,135.47
2026-02-01,NOVA-AUD-02,audio,North,online,4,89.99,0.0591,338.69
2026-02-01,NOVA-AUD-02,audio,North,marketplace,2,89.99,0.0419,172.44
2026-02-01,NOVA-AUD-02,audio,North,b2b,1,89.99,0.1069,80.37
2026-02-01,NOVA-AUD-02,audio,South,online,4,89.99,0.0561,339.77
2026-02-01,NOVA-AUD-02,audio,South,marketplace,2,89.99,0.0507,170.86
2026-02-01,NOVA-AUD-02,audio,South,b2b,1,89.99,0.0976,81.21
2026-02-01,NOVA-AUD-02,audio,East,online,5,89.99,0.0566,424.48
2026-02-01,NOVA-AUD-02,audio,East,marketplace,2,89.99,0.0572,169.69
2026-02-01,NOVA-AUD-02,audio,East,b2b,1,89.99,0.1041,80.62
2026-02-01,NOVA-AUD-02,audio,West,online,3,89.99,0.0446,257.93
2026-02-01,NOVA-AUD-02,audio,West,marketplace,2,89.99,0.0416,172.49
2026-02-01,NOVA-AUD-02,audio,West,b2b,1,89.99,0.092,81.71
2026-02-01,NOVA-MOB-01,mobile,North,online,2,699.99,0.0527,1326.2
2026-02-01,NOVA-MOB-01,mobile,North,marketplace,1,699.99,0.0474,666.81
2026-02-01,NOVA-MOB-01,mobile,South,online,1,699.99,0.0587,658.9
2026-02-01,NOVA-MOB-01,mobile,South,marketplace,1,699.99,0.0522,663.45
2026-02-01,NOVA-MOB-01,mobile,East,online,2,699.99,0.0433,1339.36
2026-02-01,NOVA-MOB-01,mobile,East,marketplace,1,699.99,0.0598,658.13
2026-02-01,NOVA-MOB-01,mobile,West,online,2,699.99,0.0537,1324.8
2026-02-01,NOVA-MOB-01,mobile,West,marketplace,1,699.99,0.0555,661.14
2026-02-01,NOVA-MOB-02,mobile,North,online,2,449.99,0.0463,858.31
2026-02-01,NOVA-MOB-02,mobile,North,marketplace,1,449.99,0.0442,430.1
2026-02-01,NOVA-MOB-02,mobile,North,b2b,1,449.99,0.1075,401.62
2026-02-01,NOVA-MOB-02,mobile,South,online,2,449.99,0.0531,852.19
2026-02-01,NOVA-MOB-02,mobile,South,marketplace,1,449.99,0.0583,423.76
2026-02-01,NOVA-MOB-02,mobile,East,online,2,449.99,0.0449,859.57
2026-02-01,NOVA-MOB-02,mobile,East,marketplace,1,449.99,0.0453,429.61
2026-02-01,NOVA-MOB-02,mobile,West,online,3,449.99,0.048,1285.17
2026-02-01,NOVA-MOB-02,mobile,West,marketplace,1,449.99,0.06,422.99
2026-02-01,NOVA-CPT-01,computing,North,online,1,999.99,0.0409,959.09
2026-02-01,NOVA-CPT-01,computing,South,online,1,999.99,0.0484,951.59
2026-02-01,NOVA-CPT-01,computing,East,online,2,999.99,0.0506,1898.78
2026-02-01,NOVA-CPT-01,computing,East,marketplace,1,999.99,0.0572,942.79
2026-02-01,NOVA-CPT-01,computing,West,online,1,999.99,0.0536,946.39
2026-02-01,NOVA-CPT-02,computing,North,online,2,399.99,0.0422,766.22
2026-02-01,NOVA-CPT-02,computing,North,marketplace,1,399.99,0.0491,380.35
2026-02-01,NOVA-CPT-02,computing,South,online,2,399.99,0.0453,763.74
2026-02-01,NOVA-CPT-02,computing,East,online,2,399.99,0.0574,754.06
2026-02-01,NOVA-CPT-02,computing,East,marketplace,1,399.99,0.0528,378.87
2026-02-01,NOVA-CPT-02,computing,West,online,1,399.99,0.0553,377.87
2026-02-01,NOVA-CPT-02,computing,West,marketplace,1,399.99,0.0556,377.75
2026-02-01,NOVA-WBL-01,wearables,North,online,2,299.99,0.0465,572.08
2026-02-01,NOVA-WBL-01,wearables,North,marketplace,1,299.99,0.0586,282.41
2026-02-01,NOVA-WBL-01,wearables,South,online,2,299.99,0.0462,572.26
2026-02-01,NOVA-WBL-01,wearables,South,marketplace,1,299.99,0.0576,282.71
2026-02-01,NOVA-WBL-01,wearables,East,online,2,299.99,0.0497,570.16
2026-02-01,NOVA-WBL-01,wearables,East,marketplace,1,299.99,0.0552,283.43
2026-02-01,NOVA-WBL-01,wearables,West,online,2,299.99,0.0495,570.28
2026-02-01,NOVA-WBL-01,wearables,West,marketplace,1,299.99,0.0453,286.4
2026-02-01,NOVA-WBL-02,wearables,North,online,4,79.99,0.0442,305.82
2026-02-01,NOVA-WBL-02,wearables,North,marketplace,2,79.99,0.0546,151.25
2026-02-01,NOVA-WBL-02,wearables,North,b2b,1,79.99,0.0962,72.29
2026-02-01,NOVA-WBL-02,wearables,South,online,4,79.99,0.053,303.0
2026-02-01,NOVA-WBL-02,wearables,South,marketplace,1,79.99,0.0504,75.96
2026-02-01,NOVA-WBL-02,wearables,East,online,3,79.99,0.0468,228.74
2026-02-01,NOVA-WBL-02,wearables,East,marketplace,2,79.99,0.0446,152.84
2026-02-01,NOVA-WBL-02,wearables,East,b2b,1,79.99,0.0914,72.68
2026-02-01,NOVA-WBL-02,wearables,West,online,3,79.99,0.0446,229.27
2026-02-01,NOVA-WBL-02,wearables,West,marketplace,2,79.99,0.0572,150.83
2026-02-01,NOVA-ACC-01,accessories,North,online,7,29.99,0.0534,198.72
2026-02-01,NOVA-ACC-01,accessories,North,marketplace,4,29.99,0.0426,114.85
2026-02-01,NOVA-ACC-01,accessories,North,b2b,2,29.99,0.1014,53.9
2026-02-01,NOVA-ACC-01,accessories,South,online,6,29.99,0.0557,169.92
2026-02-01,NOVA-ACC-01,accessories,South,marketplace,4,29.99,0.0438,114.71
2026-02-01,NOVA-ACC-01,accessories,South,b2b,1,29.99,0.0986,27.03
2026-02-01,NOVA-ACC-01,accessories,East,online,7,29.99,0.0493,199.58
2026-02-01,NOVA-ACC-01,accessories,East,marketplace,4,29.99,0.0535,113.54
2026-02-01,NOVA-ACC-01,accessories,East,b2b,2,29.99,0.092,54.46
2026-02-01,NOVA-ACC-01,accessories,West,online,6,29.99,0.0468,171.52
2026-02-01,NOVA-ACC-01,accessories,West,marketplace,4,29.99,0.045,114.56
2026-02-01,NOVA-ACC-01,accessories,West,b2b,1,29.99,0.099,27.02
2026-02-01,NOVA-ACC-02,accessories,North,online,5,49.99,0.0456,238.55
2026-02-01,NOVA-ACC-02,accessories,North,marketplace,3,49.99,0.0585,141.2
2026-02-01,NOVA-ACC-02,accessories,North,b2b,1,49.99,0.1072,44.63
2026-02-01,NOVA-ACC-02,accessories,South,online,4,49.99,0.041,191.76
2026-02-01,NOVA-ACC-02,accessories,South,marketplace,3,49.99,0.0567,141.47
2026-02-01,NOVA-ACC-02,accessories,South,b2b,1,49.99,0.1085,44.57
2026-02-01,NOVA-ACC-02,accessories,East,online,6,49.99,0.0433,286.95
2026-02-01,NOVA-ACC-02,accessories,East,marketplace,3,49.99,0.0443,143.33
2026-02-01,NOVA-ACC-02,accessories,East,b2b,1,49.99,0.0912,45.43
2026-02-01,NOVA-ACC-02,accessories,West,online,4,49.99,0.0597,188.02
2026-02-01,NOVA-ACC-02,accessories,West,marketplace,2,49.99,0.0557,94.41
2026-02-01,NOVA-ACC-02,accessories,West,b2b,1,49.99,0.0985,45.07
2026-02-02,NOVA-AUD-01,audio,North,online,5,149.99,0.0599,705.03
2026-02-02,NOVA-AUD-01,audio,North,marketplace,2,149.99,0.0544,283.66
2026-02-02,NOVA-AUD-01,audio,North,b2b,1,149.99,0.0959,135.61
2026-02-02,NOVA-AUD-01,audio,South,online,4,149.99,0.0516,569.0
2026-02-02,NOVA-AUD-01,audio,South,marketplace,1,149.99,0.055,141.74
2026-02-02,NOVA-AUD-01,audio,East,online,4,149.99,0.0501,569.9
2026-02-02,NOVA-AUD-01,audio,East,marketplace,2,149.99,0.0431,287.05
2026-02-02,NOVA-AUD-01,audio,East,b2b,1,149.99,0.0916,136.25
2026-02-02,NOVA-AUD-01,audio,West,online,3,149.99,0.0519,426.62
2026-02-02,NOVA-AUD-01,audio,West,marketplace,2,149.99,0.0447,286.57
2026-02-02,NOVA-AUD-02,audio,North,online,6,89.99,0.0449,515.7
2026-02-02,NOVA-AUD-02,audio,North,marketplace,3,89.99,0.0524,255.82
2026-02-02,NOVA-AUD-02,audio,North,b2b,1,89.99,0.1017,80.84
2026-02-02,NOVA-AUD-02,audio,South,online,4,89.99,0.0587,338.83
2026-02-02,NOVA-AUD-02,audio,South,marketplace,2,89.99,0.0543,170.21
2026-02-02,NOVA-AUD-02,audio,South,b2b,1,89.99,0.0979,81.18
2026-02-02,NOVA-AUD-02,audio,East,online,5,89.99,0.046,429.25
2026-02-02,NOVA-AUD-02,audio,East,marketplace,2,89.99,0.055,170.08
2026-02-02,NOVA-AUD-02,audio,East,b2b,1,89.99,0.0992,81.06
2026-02-02,NOVA-AUD-02,audio,West,online,5,89.99,0.0599,423.0
2026-02-02,NOVA-AUD-02,audio,West,marketplace,2,89.99,0.0443,172.01
2026-02-02,NOVA-AUD-02,audio,West,b2b,1,89.99,0.1087,80.21
2026-02-02,NOVA-MOB-01,mobile,North,online,3,699.99,0.0576,1979.01
2026-02-02,NOVA-MOB-01,mobile,North,marketplace,1,699.99,0.0432,669.75
