ticket_id,date,category,severity,sku,region,resolution_days
TKT-20260201-00001,2026-02-01,late_delivery,medium,NOVA-CPT-01,West,6.1
TKT-20260201-00002,2026-02-01,late_delivery,medium,NOVA-WBL-02,East,1.2
TKT-20260201-00003,2026-02-01,other,high,,West,2.2
TKT-20260201-00004,2026-02-01,late_delivery,critical,NOVA-MOB-01,South,1.0
TKT-20260201-00005,2026-02-01,product_defect,low,NOVA-CPT-02,East,5.3
TKT-20260201-00006,2026-02-01,late_delivery,high,NOVA-AUD-02,West,1.7
TKT-20260201-00007,2026-02-01,late_delivery,high,NOVA-WBL-01,West,6.0
TKT-20260201-00008,2026-02-01,late_delivery,low,NOVA-AUD-02,East,6.6
TKT-20260201-00009,2026-02-01,product_defect,medium,NOVA-AUD-02,West,1.9
TKT-20260201-00010,2026-02-01,wrong_item,critical,NOVA-WBL-01,North,4.4
TKT-20260201-00011,2026-02-01,wrong_item,high,NOVA-WBL-02,East,5.6
TKT-20260201-00012,2026-02-01,damaged,medium,NOVA-WBL-01,North,1.1
TKT-20260201-00013,2026-02-01,late_delivery,medium,NOVA-MOB-01,South,4.3
TKT-20260202-00014,2026-02-02,wrong_item,critical,NOVA-AUD-02,West,
TKT-20260202-00015,2026-02-02,late_delivery,medium,NOVA-MOB-01,North,5.5
TKT-20260202-00016,2026-02-02,product_defect,high,NOVA-AUD-01,East,1.5
TKT-20260202-00017,2026-02-02,late_delivery,high,NOVA-WBL-02,North,4.2
TKT-20260202-00018,2026-02-02,late_delivery,high,NOVA-MOB-01,South,5.3
TKT-20260202-00019,2026-02-02,product_defect,medium,NOVA-CPT-01,North,2.8
TKT-20260202-00020,2026-02-02,other,low,,North,
TKT-20260202-00021,2026-02-02,product_defect,medium,NOVA-WBL-02,West,1.2
TKT-20260202-00022,2026-02-02,late_delivery,medium,NOVA-WBL-02,South,5.0
TKT-20260202-00023,2026-02-02,damaged,high,NOVA-MOB-01,East,6.7
TKT-20260202-00024,2026-02-02,damaged,low,NOVA-MOB-01,East,2.0
TKT-20260203-00025,2026-02-03,damaged,medium,NOVA-WBL-02,West,1.9
TKT-20260203-00026,2026-02-03,damaged,high,NOVA-CPT-01,North,1.0
TKT-20260203-00027,2026-02-03,product_defect,medium,NOVA-WBL-01,North,
TKT-20260203-00028,2026-02-03,product_defect,medium,NOVA-MOB-01,South,4.8
TKT-20260203-00029,2026-02-03,wrong_item,medium,NOVA-MOB-02,West,4.6
TKT-20260203-00030,2026-02-03,wrong_item,critical,NOVA-MOB-01,South,2.5
TKT-20260203-00031,2026-02-03,other,medium,,South,1.9
TKT-20260203-00032,2026-02-03,late_delivery,high,NOVA-MOB-02,South,
TKT-20260203-00033,2026-02-03,billing,medium,,North,
TKT-20260203-00034,2026-02-03,other,low,,East,1.4
TKT-20260203-00035,2026-02-03,product_defect,medium,NOVA-CPT-01,South,5.0
TKT-20260203-00036,2026-02-03,damaged,low,NOVA-CPT-02,South,1.3
TKT-20260203-00037,2026-02-03,late_delivery,low,NOVA-WBL-01,South,5.2
TKT-20260203-00038,2026-02-03,damaged,high,NOVA-MOB-01,East,1.8
TKT-20260203-00039,2026-02-03,product_defect,high,NOVA-AUD-01,East,
TKT-20260204-00040,2026-02-04,product_defect,low,NOVA-AUD-02,North,2.7
TKT-20260204-00041,2026-02-04,damaged,medium,NOVA-AUD-01,West,5.9
TKT-20260204-00042,2026-02-04,billing,low,,North,2.6
TKT-20260204-00043,2026-02-04,late_delivery,medium,NOVA-CPT-01,North,5.2
TKT-20260204-00044,2026-02-04,late_delivery,low,NOVA-CPT-01,West,6.5
TKT-20260204-00045,2026-02-04,late_delivery,low,NOVA-MOB-02,West,4.4
TKT-20260204-00046,2026-02-04,other,medium,,East,0.9
TKT-20260204-00047,2026-02-04,late_delivery,high,NOVA-WBL-02,East,
TKT-20260204-00048,2026-02-04,product_defect,low,NOVA-AUD-01,East,6.6
TKT-20260204-00049,2026-02-04,late_delivery,medium,NOVA-WBL-02,East,2.4
TKT-20260204-00050,2026-02-04,late_delivery,medium,NOVA-CPT-01,West,6.0
TKT-20260204-00051,2026-02-04,other,medium,,West,
TKT-20260204-00052,2026-02-04,late_delivery,critical,NOVA-CPT-01,South,2.1
TKT-20260204-00053,2026-02-04,product_defect,low,NOVA-CPT-01,East,
TKT-20260205-00054,2026-02-05,late_delivery,low,NOVA-AUD-01,West,3.1
TKT-20260205-00055,2026-02-05,late_delivery,low,NOVA-AUD-02,East,0.8
TKT-20260205-00056,2026-02-05,billing,medium,,North,6.8
TKT-20260205-00057,2026-02-05,other,medium,,West,3.2
TKT-20260205-00058,2026-02-05,late_delivery,low,NOVA-CPT-01,West,1.1
TKT-20260205-00059,2026-02-05,wrong_item,medium,NOVA-AUD-02,West,5.3
TKT-20260205-00060,2026-02-05,damaged,medium,NOVA-WBL-01,South,6.5
TKT-20260205-00061,2026-02-05,wrong_item,low,NOVA-MOB-01,East,6.5
TKT-20260205-00062,2026-02-05,billing,high,,North,4.0
TKT-20260205-00063,2026-02-05,product_defect,medium,NOVA-AUD-02,North,3.8
TKT-20260205-00064,2026-02-05,wrong_item,low,NOVA-CPT-01,North,5.7
TKT-20260205-00065,2026-02-05,damaged,medium,NOVA-AUD-02,North,2.2
TKT-20260205-00066,2026-02-05,damaged,medium,NOVA-WBL-01,North,5.4
TKT-20260206-00067,2026-02-06,late_delivery,medium,NOVA-WBL-02,North,0.7
TKT-20260206-00068,2026-02-06,late_delivery,low,NOVA-AUD-02,East,0.9
TKT-20260206-00069,2026-02-06,late_delivery,medium,NOVA-CPT-02,North,4.6
TKT-20260206-00070,2026-02-06,billing,low,,North,3.1
TKT-20260206-00071,2026-02-06,late_delivery,medium,NOVA-WBL-01,East,3.2
TKT-20260206-00072,2026-02-06,product_defect,high,NOVA-AUD-01,East,2.7
TKT-20260206-00073,2026-02-06,late_delivery,low,NOVA-AUD-02,East,0.7
TKT-20260206-00074,2026-02-06,wrong_item,low,NOVA-WBL-01,West,2.7
TKT-20260206-00075,2026-02-06,product_defect,low,NOVA-MOB-01,South,3.4
TKT-20260206-00076,2026-02-06,product_defect,medium,NOVA-AUD-02,West,2.8
TKT-20260206-00077,2026-02-06,product_defect,medium,NOVA-WBL-01,South,6.6
TKT-20260206-00078,2026-02-06,late_delivery,critical,NOVA-AUD-01,East,4.6
TKT-20260206-00079,2026-02-06,late_delivery,low,NOVA-CPT-02,East,
TKT-20260206-00080,2026-02-06,product_defect,medium,NOVA-CPT-02,West,3.0
TKT-20260206-00081,2026-02-06,other,high,,South,4.1
TKT-20260207-00082,2026-02-07,late_delivery,low,NOVA-CPT-01,East,2.0
TKT-20260207-00083,2026-02-07,wrong_item,low,NOVA-CPT-02,South,2.7
TKT-20260207-00084,2026-02-07,other,medium,,West,4.6
TKT-20260207-00085,2026-02-07,damaged,low,NOVA-MOB-01,West,5.7
TKT-20260207-00086,2026-02-07,wrong_item,high,NOVA-CPT-02,South,2.4
TKT-20260207-00087,2026-02-07,product_defect,low,NOVA-MOB-01,East,
TKT-20260207-00088,2026-02-07,other,medium,,East,5.1
TKT-20260207-00089,2026-02-07,damaged,medium,NOVA-MOB-02,East,5.6
TKT-20260207-00090,2026-02-07,product_defect,medium,NOVA-MOB-02,South,1.2
TKT-20260207-00091,2026-02-07,other,low,,South,6.0
TKT-20260207-00092,2026-02-07,billing,low,,North,
TKT-20260208-00093,2026-02-08,damaged,medium,NOVA-WBL-01,North,3.7
TKT-20260208-00094,2026-02-08,product_defect,low,NOVA-AUD-02,South,2.6
TKT-20260208-00095,2026-02-08,late_delivery,medium,NOVA-CPT-01,South,3.2
TKT-20260208-00096,2026-02-08,other,medium,,East,3.5
TKT-20260208-00097,2026-02-08,product_defect,medium,NOVA-AUD-01,East,
TKT-20260208-00098,2026-02-08,product_defect,high,NOVA-AUD-01,East,5.5
TKT-20260208-00099,2026-02-08,late_delivery,low,NOVA-MOB-02,West,6.1
TKT-20260208-00100,2026-02-08,wrong_item,high,NOVA-CPT-02,East,
TKT-20260208-00101,2026-02-08,late_delivery,high,NOVA-AUD-01,East,2.1
TKT-20260208-00102,2026-02-08,late_delivery,critical,NOVA-CPT-01,South,3.2
TKT-20260208-00103,2026-02-08,billing,medium,,East,3.4
TKT-20260208-00104,2026-02-08,late_delivery,critical,NOVA-AUD-02,North,
TKT-20260208-00105,2026-02-08,other,medium,,North,1.5
TKT-20260209-00106,2026-02-09,product_defect,medium,NOVA-MOB-01,South,2.7
TKT-20260209-00107,2026-02-09,late_delivery,high,NOVA-WBL-02,North,1.8
TKT-20260209-00108,2026-02-09,late_delivery,medium,NOVA-WBL-02,West,
TKT-20260209-00109,2026-02-09,late_delivery,low,NOVA-CPT-02,West,0.8
TKT-20260209-00110,2026-02-09,product_defect,low,NOVA-MOB-02,West,2.5
TKT-20260209-00111,2026-02-09,damaged,low,NOVA-WBL-02,South,3.3
TKT-20260209-00112,2026-02-09,wrong_item,medium,NOVA-CPT-02,North,6.4
TKT-20260209-00113,2026-02-09,other,medium,,East,4.3
TKT-20260209-00114,2026-02-09,billing,high,,North,6.8
TKT-20260209-00115,2026-02-09,product_defect,low,NOVA-WBL-01,North,
TKT-20260209-00116,2026-02-09,wrong_item,critical,NOVA-WBL-01,West,5.1
TKT-20260209-00117,2026-02-09,product_defect,low,NOVA-CPT-01,North,4.2
TKT-20260209-00118,2026-02-09,wrong_item,low,NOVA-MOB-01,South,1.6
TKT-20260209-00119,2026-02-09,late_delivery,medium,NOVA-MOB-02,West,0.9
TKT-20260210-00120,2026-02-10,late_delivery,medium,NOVA-CPT-01,West,
TKT-20260210-00121,2026-02-10,wrong_item,low,NOVA-CPT-02,East,3.7
TKT-20260210-00122,2026-02-10,late_delivery,medium,NOVA-CPT-01,West,1.2
TKT-20260210-00123,2026-02-10,late_delivery,high,NOVA-MOB-01,West,6.3
TKT-20260210-00124,2026-02-10,wrong_item,medium,NOVA-WBL-02,North,4.5
TKT-20260210-00125,2026-02-10,wrong_item,low,NOVA-AUD-02,North,6.0
TKT-20260210-00126,2026-02-10,damaged,high,NOVA-WBL-01,North,1.2
TKT-20260210-00127,2026-02-10,late_delivery,medium,NOVA-WBL-02,West,3.4
TKT-20260210-00128,2026-02-10,late_delivery,medium,NOVA-WBL-02,North,7.0
TKT-20260210-00129,2026-02-10,late_delivery,medium,NOVA-CPT-02,North,
TKT-20260210-00130,2026-02-10,late_delivery,low,NOVA-AUD-02,South,
TKT-20260210-00131,2026-02-10,late_delivery,high,NOVA-CPT-01,South,2.1
TKT-20260210-00132,2026-02-10,wrong_item,low,NOVA-CPT-02,North,1.5
TKT-20260210-00133,2026-02-10,wrong_item,low,NOVA-MOB-01,South,1.7
TKT-20260210-00134,2026-02-10,billing,medium,,North,2.4
TKT-20260211-00135,2026-02-11,late_delivery,high,NOVA-WBL-02,East,1.4
TKT-20260211-00136,2026-02-11,damaged,low,NOVA-MOB-02,East,5.5
TKT-20260211-00137,2026-02-11,product_defect,high,NOVA-WBL-01,South,
TKT-20260211-00138,2026-02-11,late_delivery,low,NOVA-AUD-01,East,6.4
TKT-20260211-00139,2026-02-11,product_defect,medium,NOVA-WBL-02,North,1.0
TKT-20260211-00140,2026-02-11,wrong_item,low,NOVA-CPT-01,East,7.0
TKT-20260211-00141,2026-02-11,other,low,,West,
TKT-20260211-00142,2026-02-11,late_delivery,medium,NOVA-MOB-02,East,4.9
TKT-20260211-00143,2026-02-11,late_delivery,medium,NOVA-WBL-01,South,1.9
TKT-20260211-00144,2026-02-11,wrong_item,low,NOVA-CPT-01,West,2.8
TKT-20260211-00145,2026-02-11,late_delivery,critical,NOVA-MOB-02,South,2.3
TKT-20260211-00146,2026-02-11,billing,low,,East,6.0
